short_name,capacity,lon,name,station_id,lat,region_id,address
TA1307000140,19,-87.68870428204536,Western Ave & Leland Ave,a3a866a5-a135-11e9-9cda-0a87ae2ba916,41.966399801840986,,
15585,11,-87.6964225611,Budlong Woods Library,a3af624c-a135-11e9-9cda-0a87ae2ba916,41.98366470886,,
TA1309000059,15,-87.658971,Racine Ave & Wrightwood Ave,a3ab8bee-a135-11e9-9cda-0a87ae2ba916,41.928887,,
15643,15,-87.7237773635,Kosciuszko Park,a3b00055-a135-11e9-9cda-0a87ae2ba916,41.93058537138,,
KA1504000096,15,-87.7093107999,Sawyer Ave & Irving Park Rd,a3afb917-a135-11e9-9cda-0a87ae2ba916,41.95358617895,,
22002,11,-87.596479,Woodlawn Ave & 58th St,1850867138125484782,41.789381,,
600,15,-87.698224,Dodge Ave & Church St,a3b2f698-a135-11e9-9cda-0a87ae2ba916,42.048308,35,
23107,15,-87.730409,Karlov Ave & Lawrence Ave,1867617341378224632,41.967947,,
523,15,-87.66430288553238,Eastlake Ter & Howard St,a3b0f0b6-a135-11e9-9cda-0a87ae2ba916,42.01920250193227,,
650,11,-87.635876,Eggleston Ave & 69th St,a3b45e26-a135-11e9-9cda-0a87ae2ba916,41.768898,,
13011,47,-87.639904,Canal St & Adams St,a3a77c8d-a135-11e9-9cda-0a87ae2ba916,41.879255,,
13081,15,-87.67328,Ogden Ave & Congress Pkwy,a3a5af44-a135-11e9-9cda-0a87ae2ba916,41.87501,,
20127,15,-87.64261186122894,Halsted St & 111th St,a77136ee-060b-433b-88d0-ec74af1ef7ad,41.69226255589166,,
TA1307000115,15,-87.640552,Clybourn Ave & Division St,a3a6054c-a135-11e9-9cda-0a87ae2ba916,41.904613,,
TA1307000113,15,-87.663913,Southport Ave & Wrightwood Ave,a3a771c2-a135-11e9-9cda-0a87ae2ba916,41.928773,,
TA1306000011,19,-87.63443007,Wells St & Walton St,a3a44ec7-a135-11e9-9cda-0a87ae2ba916,41.89993001,,
KA1503000029,15,-87.567514,South Shore Dr & 67th St,a3ac4548-a135-11e9-9cda-0a87ae2ba916,41.773643,,
13158,19,-87.64961779117584,Peoria St & Jackson Blvd,a3a5f0b8-a135-11e9-9cda-0a87ae2ba916,41.8776415962753,,
23112,15,-87.71599060579398,St Louis Ave & Foster Ave,1926982189560422428,41.976168378078384,,
16950,7,-87.663815,Ashland Ave & 66th St,a3b241df-a135-11e9-9cda-0a87ae2ba916,41.774074,,
KA150400009X,15,-87.71206766366959,Kimball Ave & Belmont Ave,a3aff616-a135-11e9-9cda-0a87ae2ba916,41.93939395344302,,
582,11,-87.56506,Phillips Ave & 83rd St,a3b29a90-a135-11e9-9cda-0a87ae2ba916,41.744531,,
13053,11,-87.64872461557388,Green St & Washington Blvd,a3a57a52-a135-11e9-9cda-0a87ae2ba916,41.88318130597391,,
20243,15,-87.62105226516724,Michigan Ave & 114th St,a065d29d-a081-47f4-8d0f-9a572f6085fe,41.68701479467118,,
16905,11,-87.765469,Central Ave & Lake St,a3b11993-a135-11e9-9cda-0a87ae2ba916,41.887664,,
16943,11,-87.664429,Ashland Ave & Garfield Blvd,a3b21de7-a135-11e9-9cda-0a87ae2ba916,41.792822,,
569,11,-87.595751,Woodlawn Ave & 75th St,a3b25656-a135-11e9-9cda-0a87ae2ba916,41.75916,,
13075,19,-87.63193130493164,Wentworth Ave & Cermak Rd,a3a5a48b-a135-11e9-9cda-0a87ae2ba916,41.85308455741279,,
18025,7,-87.650919,Carpenter St & 63rd St,a3b453f2-a135-11e9-9cda-0a87ae2ba916,41.77987,,
23131,15,-87.682701,Western Ave & 79th St,1871991855517771832,41.750843,,
20106,23,-87.60829567909241,Chicago State University,9e5ce0b6-198f-48fa-9363-64ab5ec2b222,41.71896342165455,,
16940,11,-87.664699,Ashland Ave & 50th St,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,41.803023,,
571,11,-87.614138,Vernon Ave & 75th St,a3b26084-a135-11e9-9cda-0a87ae2ba916,41.758361,,
588,11,-87.575225,South Chicago Ave & 83rd St,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,41.743921,,
577,11,-87.585337,Stony Island Ave & South Chicago Ave,a3b2810e-a135-11e9-9cda-0a87ae2ba916,41.751173,,
604,15,-87.677432,Sheridan Rd & Noyes St (NU),a3b30b06-a135-11e9-9cda-0a87ae2ba916,42.058239,35,
KA1504000113,11,-87.70260751247406,Sacramento Blvd & Franklin Blvd,a3aca268-a135-11e9-9cda-0a87ae2ba916,41.89046879243862,,
13108,19,-87.65966,Broadway & Argyle St,a3aa10ca-a135-11e9-9cda-0a87ae2ba916,41.973815,,
